"","Gene.symbol","Astrocytes","Neuron","Oligodendrocyte.Precursor.Cell","Newly.Formed.Oligodendrocyte","Myelinating.Oligodendrocytes","Microglia","Endothelial.Cells"
"260","Atxn10",39,102.9,83.8,63.5,40.9,42.3,36.3
"261","Pkia",13.6,102.4,69.4,27.9,2.9,0.6,10
"262","Wdr6",33.5,101.5,36.4,19.6,5,10,11.3
"263","2010107E04Rik",54.7,101.4,104.8,98.8,115.4,86.6,204.1
"264","Rabac1",34.2,101.2,77.7,83.6,141,133.2,197.3
"265","Rps15",42.2,101.2,139.4,112,145,373.1,426.5
"266","Scamp5",41.6,101,116.1,114.5,122.6,80.5,1.1
"267","Ppp3r1",28.3,100.1,53.2,47.8,26.8,21.9,44.1
"268","Mtap4",36.2,99.2,26.1,77.4,201.4,34.3,34.3
"269","Arf3",28.5,98.8,66.6,42.1,33.9,63.7,19.5
"270","Ptov1",54,98.2,97.7,84,69.4,68.7,37.5
"271","Rps21",41.4,97.9,103.7,120.7,157.1,375.4,515.6
"272","Lamp1",233.6,97.6,286.6,560.7,604.7,499.4,166.1
"273","Cirbp",46.4,97.6,45.9,30.9,21.4,21.5,30.9
"274","Gm5148",38.6,96.8,121.7,108.8,120.6,394.7,381.7
"275","Grcc10",44.2,96.7,111.4,61.4,67.7,150.8,287
"276","Kif1a",40.2,96.2,39.9,98.8,126.2,4.2,0.4
"277","Cd24a",13.764711,95.7,5.3,0.5,0.8,1.6,29.9
"278","Ppib",111.7,95.6,275.9,207.7,109.5,239.4,375.3
"279","Sv2a",2.8,95.5,23.1,93.9,100.5,4.5,0.6
"280","Atp1b2",624.3,95.4,175.5,19.6,21.4,14.3,7.2
"281","Syngr3",1.1,94.2,19.7,3.9,2.5,1.7,0.8
"282","Uqcrh",56.6,94.1,105.1,107.4,126.8,116.7,286.7
"283","Atp6v0a1",31.6,94,45,24.1,23.2,49.1,16.1
"284","Dctn2",44,93.8,73.8,87,104.9,74,98
"285","Gprasp1",16.1,93.8,30.9,10.6,2.5,2.5,2.1
"286","Pafah1b1",55.9,93.6,53.7,66.7,31.7,19.7,36.4
"287","Wbp2",47.8,93.3,69.8,90,132.9,116.3,38.1
"288","Psmb7",38.1,93.2,97.6,101.5,94.7,55.1,118.5
"289","Csnk1a1",54.2,93.1,78.3,83.7,49.4,28.6,127.1
"290","D0H4S114",6.4,93,6.8,6.4,4.2,2.3,38.8
"291","Sfpq",80.1,92.8,89.9,58.4,15.8,28.8,53.4
"292","Rab2a",50.7,92.6,63.9,76.1,46.6,19.4,60
"293","Usp22",34.7,92.3,38.7,66.7,38.7,20,15.6
"294","Tspyl4",4.4,91.3,35.3,25.4,28.2,1.9,1
"295","Ptprn",0.3,91.3,92.2,26.5,3.5,3.5,0.3
"296","Hnrnpu",100,91.1,90,66,21.1,32.9,61.2
"297","Ppp1ca",44.9,90.2,147.1,161.7,145.8,264.7,284.8
"298","Atp5e",63.4,90.2,143.4,170.2,162.1,146.4,288.4
"299","Cacna2d2",2.2,89.9,2.7,0.6,0.1,0.1,0.1
