"","ident","AQP4","SLC1A3","rna_HEPACAM","CD44","NGFR","NCAM1","CD24","rna_FUT4","CXCR4","PDGFRA","rna_ITGB2","rna_ITGB1","rna_TF","NKX2-2","rna_PROM1","MAP2"
"30","Mixed",0,0.02428690432038,0,-0.0254414491697457,-0.11026445019453,1.02420812574615,16.2297015425165,0,0.508978242130299,0,0,2,0,0,0,2.38450274786467
"31","Astrocytes",0.106810419880741,0.168655887780689,0,0.0424143992443099,-0.138717508641697,0.185365097140286,3.05021256336087,0,8.07017892336232,-0.00815239648481341,0,2,0,0,0,-0.36238225748568
"32","Mixed",0,0.0721032305313767,0,0,-0.108180991666977,0.154327197755304,10.6541497902782,0,0.253813451972587,0,0,0,0,0,0,2.25076526222958
"33","Astrocytes",0.167470191148709,0.204276609236977,0,0.437842173473299,0.113884302536117,0.559780340678867,2.49713080831734,0,1.47439341335256,0,0,0,0,0.11027397785914,0,1.66784823533174
"34","Radial Glia - 1",0,0.0459337180792841,0,0,-0.0191658791752738,0.420562739624106,5.79395310720454,0,0.115130168755381,-0.011470599166368,0,0,0,0,0,0.221838468519572
"35","Neurons - 1",0,-0.0223177615795513,0,0.000381076856978424,-0.00916535469266324,3.53427184313122,5.39194603221266,0,0.114096098435312,0,0,0,0,0.0048619557369782,0,3.87240425143277
"36","Radial Glia - 1",0,0.527348003427623,0,0,0.0786129113246659,0.225193764780013,5.21280622064543,0,1.61370220472402,0,0,0,0,0.00270524195057176,0,1.17477663867397
"37","Radial Glia - 1",0,-0.0996968446347083,0,0,0.0188828272291463,6.7177632102068,11.0892315384464,0,0.264256795632626,0,0,0,0,0,0,1.84946841962935
"38","Mixed",0,0.0308690877618736,0,-0.0362385183473646,-0.111129455012826,0.280297017896332,8.00635662705554,0,0.834285905012547,0,0,3,0,0,0,1.34320828333281
"39","Radial Glia - 2",0,0.0495842406929143,0,0,0.427017577111585,1.2506990375267,4.23029085083382,0,-0.0199082837869138,0,0,1,0,0,0,1.25661847824893
"40","Astrocytes",0.141510755518205,0.440766811549293,0,0.920552816831355,0.0232093497687813,0.533685346321021,5.89180799322355,0,-0.939658872222485,-0.0341562874087592,0,1,0,0.0697099567637763,0,1.1995061384759
"41","Mixed",0,0.0450264151792813,0,0,1.96114883306241,0.163059523739715,5.67667685013237,0,0.323216322848581,0,0,0,0,0,0,1.22016504528421
"42","Astrocytes",0.101371362582094,0.047428292345013,0,0.0962971968749667,0.0712120143467688,0.379514070957681,1.70816160242365,0,0.866764786642509,0,0,3,0,0,0,1.57668207380268
"43","Neurons - 2",0,0.111894338400844,0,0,0.0566575967122837,3.36669389543676,15.1846128422341,0,0.00399854718491481,0.00859849349182705,0,0,0,0,0,11.2470344029228
"44","Astrocytes",0.136152059958978,1.38710176095169,0,1.11455673657353,-0.109617648957622,1.91546315873332,8.39859339525096,0,2.15900667520752,-0.0545727289535101,0,3,0,0.105926328290897,0,2.30135496702321
"45","Astrocytes",0.0955791790330994,0.113471919195892,0,0.407337500847265,0.0976021879101856,0.6105325096968,1.39938056259922,0,0.22506299536905,0,0,1,0,0.121861227897275,0,0.544663565311187
"46","Neurons - 1",0,-0.0470375756548144,0,0.000881270785051899,0.0525540603398173,2.13741929219038,9.08530095747992,0,0.111072761809643,0,0,0,0,0.0149890207951081,0,1.48745286841932
"47","Neurons - 2",0,0.0639228243461713,0,0,0.973545160424048,1.84804647024722,22.4336611397722,0,0.329562502972579,0.047165522121163,0,3,0,0,0,8.64745151657285
"48","Radial Glia - 2",0,0.0285737116735637,0,0,0.972189006588128,1.02038361435635,7.90012866085279,0,0.356902714583716,0.0514940553847053,0,1,0,0,0,0.252249028030345
"49","Neurons - 1",0,0.029385977561545,0,0,0.0637948418293161,3.11975948380011,7.9065666700096,0,2.1731577923978,0.052071440045498,0,0,0,0.00554587980861429,0,2.18127330917882
"50","Mixed",0,0,0,0,-0.15076211199806,0.236360272971414,0.534717210577632,0,0.229753428926994,0,0,0,0,0,0,1.41988363147581
"51","Neurons - 2",0,-0.0883669442245579,0,0,0.0102374614041632,7.35794934578886,3.6664845035668,0,0.294140692144728,0.00231375094737906,0,0,0,0.00106101691728373,0,4.82961188811996
"52","Neurons - 1",0,-0.0584656253327196,0,0.0015782844786605,0.0105435023055552,-0.1122050599629,7.5489026812896,0,0.277338893110558,0,0,0,0,0.00548846398931803,0,3.30228988333379
"53","Mixed",0,0.0335334390016931,0,0.189145083662185,-0.343455069499645,0.234102603966649,4.39013534607426,0,0.556336379568795,0,0,2,0,0.0228103840123417,0,0.285921633093221
"54","Mixed",0,-0.069957297030205,0,0,-0.0904015700809086,0.124274770417776,0.943061860529013,0,0.0593560095055802,0,0,0,0,0,0,0.130792708850916
"55","Radial Glia - 1",0,0.262954762245465,0,0,0.0997777985211547,1.64522312668283,2.55043436903541,0,0.240757822184491,0,0,1,0,0,0,0.116977377703592
"56","Radial Glia - 2",0,0.0339532763083122,0,0,0.41646636548444,1.85465059616297,2.91316235388162,0,0.0143208375948007,0,0,0,0,0,0,0.991986431166379
"57","Radial Glia - 1",0,0.04988289550461,0,0,0.114884491550291,0.327301235799629,3.71683298029119,0,0.470957361473105,0,0,2,0,0,0,0.773610639343842
"58","Radial Glia - 1",0,0.199542907340414,0,0,0.158141368858262,0.398514503135304,8.11799686712057,0,0.63060573540829,0,0,0,0,0,0,1.25673923216779
"59","Neurons - 2",0,0.0536518064726373,0,0,0.811145101766504,11.2378222008165,25.3125457397175,0,0.0695549066389517,0.16181342392083,0,0,0,0,0,13.7557384344398
"60","Mixed",0,0.000418152644877243,0,0.104576802574874,0.375452231536504,1.11659758202416,3.30086043109828,0,0.174195151331704,0,0,5,0,0.0302954205191387,0,1.59708964986961
"61","Radial Glia - 2",0,-0.029412452162585,0,0,0.130989189712118,4.53219206173898,18.2690711011881,0,-0.0814958242215079,0.014659159572628,0,5,0,0,0,7.18863937445881
"62","Mixed",0,0.0220053359050516,0,0,-0.0593770254980219,0.959881623917639,10.44306466202,0,0.130693406269242,0,0,2,0,0,0,0.133884558533016
"63","Neurons - 1",0,-0.0260471134239695,0,0.000663557507140886,0.979775260867055,0.1239514880392,12.0032970766382,0,0.225500955958709,0.00279987432125226,0,0,0,0.0151742117209259,0,1.27891944776122
"64","Radial Glia - 1",2.76710327214964e-06,0.293955621261966,0,0,0.0632737116928957,0.793131472919357,3.82790610519338,0,1.67746946366816,-0.0625687121635895,0,0,0,0.0445307996276519,0,-0.782431668598648
"65","Astrocytes",0.0386053610794191,0.0283876703625202,0,0.0931199402441097,0.112579122485596,0.242014848333883,1.83445355347231,0,1.34637514179322,-0.00263394490238213,0,1,0,0.072403592066848,0,2.2230706447009
"66","Astrocytes",0,0.279993322547411,0,1.45114099338913,0.630407759684309,0.125932809228606,9.9953933605719,0,0.984597428016382,0,0,5,0,0.177887986289226,0,1.53650535095939
